FA0,2247982
FA1,2632578
FA2,87869
FA3,169911
FA4,16341063
FA5,2417384
FA6,2451272
FA7,16147227
FA8,486112
FA9,97532
FA10,2210394
FA11,2369162
FA12,15876573
FA13,598821
FA14,152430
FA15,1988747
FA16,2675131
FA17,15612788
FA18,630982
FA19,155418
FA20,2269245
FA21,2497069
FA22,163322
FA23,78844
FA24,210814
FA25,2622578
FA26,2235342
FA27,309956
FA28,949656
FA29,14801019
FA30,3034102
FA31,2491511
FA32,202830
FA33,157624
FT0,5507232
FT1,5118802
FT2,90242
FT3,37554
FT4,88524
FT5,5062476
FT6,3781960
FT7,183703
FT8,249039
FT9,16109507
FT10,4960059
FT11,4838035
FT12,450045
FT13,15789007
FT14,670713
FT15,4605197
FT16,4745450
FT17,255377
FT18,141123
FT19,288141
FT20,4644719
FT21,5163671
FT22,866243
FT23,15321394
FT24,1015760
FT25,5068681
FT26,5477633
FT27,15133497
FT28,850969
FT29,515026
FT30,4650918
FT31,5890600
FT32,14346411
FT33,799086
FG0,4799493
FG1,4741392
FG2,182964
FG3,16355736
FG4,326649
FG5,4908209
FG6,5152594
FG7,180788
FG8,59648
FG9,113236
FG10,4587807
FG11,4497121
FG12,297258
FG13,361119
FG14,15818238
FG15,5347187
FG16,4850436
FG17,359175
FG18,496867
FG19,15557873
FG20,5503329
FG21,4704361
FG22,380812
FG23,688066
FG24,15315370
FG25,5531023
FG26,4570799
FG27,308102
FG28,168387
FG29,430925
FG30,4349796
FG31,4195221
FG32,653268
FG33,1865901
FC0,4292847
FC1,4354782
FC2,16486479
FC3,284353
FC4,91318
FC5,4459485
FC6,5461728
FC7,335836
FC8,16052755
FC9,527279
FC10,5089294
FC11,5143236
FC12,223678
FC13,98607
FC14,206173
FC15,4906423
FC16,4576537
FC17,620214
FC18,15578582
FC19,846122
FC20,4430261
FC21,4482453
FC22,15437177
FC23,759250
FC24,305610
FC25,3625272
FC26,4563780
FC27,1095999
FC28,14878542
FC29,1100584
FC30,4812738
FC31,4270222
FC32,1645045
FC33,14024943
FN0,0
FN1,0
FN2,0
FN3,0
FN4,0
FN5,0
FN6,0
FN7,0
FN8,0
FN9,0
FN10,0
FN11,0
FN12,0
FN13,0
FN14,0
FN15,0
FN16,0
FN17,0
FN18,0
FN19,0
FN20,0
FN21,0
FN22,0
FN23,0
FN24,0
FN25,0
FN26,0
FN27,0
FN28,0
FN29,0
FN30,0
FN31,0
FN32,0
FN33,0
RA0,2456494
RA1,2504770
RA2,34091
RA3,30401
RA4,73305
RA5,2065000
RA6,2826691
RA7,584014
RA8,17242626
RA9,17064920
RA10,3047008
RA11,2652689
RA12,81746
RA13,81020
RA14,187139
RA15,2889398
RA16,2492257
RA17,336169
RA18,1146392
RA19,15761266
RA20,3128702
RA21,2640029
RA22,130937
RA23,133393
RA24,364349
RA25,2564749
RA26,2742386
RA27,653525
RA28,2011260
RA29,14520747
RA30,3208589
RA31,2323458
RA32,170843
RA33,181044
RT0,5706793
RT1,5783098
RT2,230904
RT3,17325138
RT4,309488
RT5,5756307
RT6,4406212
RT7,133108
RT8,86390
RT9,283235
RT10,5561883
RT11,5687476
RT12,385733
RT13,941946
RT14,16555286
RT15,5971315
RT16,5358967
RT17,1276105
RT18,15909925
RT19,1121537
RT20,5590851
RT21,6287546
RT22,15434275
RT23,768613
RT24,871729
RT25,5589957
RT26,5137688
RT27,2169964
RT28,14679994
RT29,1519685
RT30,5519844
RT31,4855179
RT32,2572328
RT33,13975173
RG0,5689343
RG1,5131134
RG2,95432
RG3,48302
RG4,130081
RG5,4564569
RG6,5326149
RG7,16950457
RG8,388698
RG9,207255
RG10,4776005
RG11,4422356
RG12,871631
RG13,16252201
RG14,684363
RG15,4753009
RG16,4796796
RG17,227242
RG18,146221
RG19,398707
RG20,3908413
RG21,3824845
RG22,607577
RG23,1723381
RG24,15455015
RG25,4273151
RG26,4758770
RG27,14671637
RG28,843673
RG29,966158
RG30,4156026
RG31,5767271
RG32,14790037
RG33,3474472
RC0,3961524
RC1,4395152
RC2,17453727
RC3,410313
RC4,17301280
RC5,5428278
RC6,5255102
RC7,146575
RC8,96440
RC9,258744
RC10,4429258
RC11,5051633
RC12,16475044
RC13,538987
RC14,387366
RC15,4200432
RC16,5166134
RC17,15974638
RC18,611616
RC19,532644
RC20,5186188
RC21,5061734
RC22,1641365
RC23,15188767
RC24,1123061
RC25,5386297
RC26,5175310
RC27,319028
RC28,279227
RC29,807564
RC30,4929695
RC31,4868246
RC32,280946
RC33,183465
RN0,0
RN1,0
RN2,0
RN3,0
RN4,0
RN5,0
RN6,0
RN7,0
RN8,0
RN9,0
RN10,0
RN11,0
RN12,0
RN13,0
RN14,0
RN15,0
RN16,0
RN17,0
RN18,0
RN19,0
RN20,0
RN21,0
RN22,0
RN23,0
RN24,0
RN25,0
RN26,0
RN27,0
RN28,0
RN29,0
RN30,0
RN31,0
RN32,0
RN33,0
