,01 [D],02 [D],03 [D],07 [D],09 [D],04 [N],05 [N],06 [N],08 [N],10 [N],11 [N],12 [N]
XLOC_017757,10.738,0.0,0.0,0.771857,0.0,0.0,0.0,135.874,0.0,0.0,0.0,0.595882
XLOC_017752,66.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLOC_017751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.7883,0.0,0.0,0.0,80.4527
XLOC_017361,0.0,0.0,0.0,0.0,0.0,0.0,3.21517,0.0,87.0118,0.0,0.0,0.0
XLOC_017100,181.967,0.0,0.0,0.0,3.22045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLOC_017099,213.38099999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLOC_016089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.1815,0.0
XLOC_016036,0.0,0.0,0.0,0.0,0.0,0.0,18.6554,0.0,0.29611,0.0,0.302257,0.0
XLOC_015909,0.0,0.0,0.0,0.0,0.0,0.0,19.541,0.0,0.0,0.0,0.0,0.0
XLOC_015224,30.7846,17.9846,12.2921,15.7718,21.6765,50.3568,48.2551,47.7191,88.6373,69.0461,68.3957,82.4709
XLOC_015082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.4977,0.0,0.0
XLOC_014627,8.36665,14.3198,12.9893,13.5847,15.8874,16.1721,28.0587,23.3974,29.061999999999998,36.1356,21.6133,45.0089
XLOC_013338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.69099999999997,0.0,0.0
XLOC_012607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.96046,0.0,116.529
XLOC_011074,463.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLOC_009955,207.12900000000002,288.858,285.243,576.863,386.486,118.821,165.483,143.145,246.105,145.892,111.32700000000001,142.438
XLOC_007781,12.5991,59.1792,8.7639,29.4609,33.3846,6.16861,3849.06,22.6039,47.8522,27.976,14.2656,16.0721
XLOC_006483,0.0,0.0,20.7829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLOC_006086,21.5385,26.5401,19.4362,17.7822,28.4049,6.11308,12.8087,4.587330000000001,29.3632,6.54871,5.23225,4.90949
XLOC_006079,0.0,0.0,0.0,0.0,0.0,7.42848,0.0,0.0,0.0,0.0,0.0,80.0873
XLOC_005619,42.1856,0.0,33.4017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLOC_002641,186.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLOC_002266,0.0,0.0,0.0,0.0,571.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLOC_001784,10.3184,5.254659999999999,9.89316,8.808069999999999,11.777000000000001,11.3183,17.8378,16.5665,21.6332,20.82,19.4939,26.7976
XLOC_001103,38.4802,35.9902,38.8506,35.509,28.7952,61.6405,69.97399999999999,60.9918,119.655,76.9695,74.1545,71.7968
XLOC_000883,56.6976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLOC_000668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.30800000000005,0.0,0.0
XLOC_000169,0.0,0.0,0.0,0.0,0.0,279.95,0.0,150.61,73.8113,0.0,0.0,0.0
