Sample	illumina/all	100*relig/(onegen)	100*relig/de	100*relig/de(merged reads)
1	0.784333	54	49	47
2	0.713114	57	52	50
3	0.094986	36	29	24
5	0.270512	48	43	35
6	0.601452	44	39	36
7	0.745307	62	58	57
8	0.730521	53	47	46
9	0.655585	55	50	49
10	0.16804	45	16	53
12	0.398433	65	49	63
13	0.112139	16	-0.01	16
14	0.339536	56	44	59
15	0.245899	26	13	35
16	0.364492	54	33	57
18	0			47
23	0			75
28	0.476417	93	95	60
29	0.603844	95	97	42
30	0.652386	94	96	28
H1_rep1				22
H1_rep2				22
K562_rep1				14
K562_rep2				12
51	0.02			61
Ma et al.; K562 pe				59.4594594594595
Ma et al.; K562 WGS				80.3030303030303
Ramani et al.; WG-brain-rep1				94.8717948717949
