,Variant,K562_Banaszak,K562_Belaghzal,K562_Dixon,K562_Moquin,K562_Rao,K562_Ray,K562_Wang,K562_Zhou,Count,Samples
245,10000100,0.03112684065018333,0.0,0.0,0.0,0.0,0.007097652521287369,0.0,0.0,127,2
246,00100000,0.0,0.0,7.03771037803301,0.0,0.0,0.0,0.0,0.0,327184,1
247,00001000,0.0,0.0,0.0,0.0,7.598157806835232,0.0,0.0,0.0,320508,1
248,00000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.772299094268383,166451,1
249,00000100,0.0,0.0,0.0,0.0,0.0,5.008818972975269,0.0,0.0,89624,1
250,00010000,0.0,0.0,0.0,2.8612123054366756,0.0,0.0,0.0,0.0,67678,1
251,10000000,10.252249955883217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41830,1
252,00000010,0.0,0.0,0.0,0.0,0.0,0.0,1.7023254423314493,0.0,37578,1
253,01000000,0.0,1.9554012734939337,0.0,0.0,0.0,0.0,0.0,0.0,27365,1
254,Sum,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5496486,.
