Count %,Mask
32.739,-genome--a-bridge--genome-
31.2669,-genome--a-egdirb--genome-
28.9205,-genome-
2.5683,-genome--egdirb--genome-
0.4449,-genome--bridge--genome-
0.3551,--[1]--a-bridge--genome-
0.1419,--[9]--a-egdirb--genome-
0.1372,-genome--a-bridge--[7]--
0.13,-genome--a-bridge--[9]--
0.1283,-genome--a-bridge--[8]--
0.1276,-genome--a-bridge--[10]--
0.1258,-genome--a-bridge--[6]--
0.1226,--[2]--a-bridge--genome-
0.1194,-genome--a-bridge--[5]--
0.1167,-genome--a-egdirb--[10]--
0.1143,-genome--a-egdirb--[6]--
0.1129,-genome--a-egdirb--[9]--
0.1126,-genome--a-egdirb--[1]--
0.1093,-genome--a-egdirb--[8]--
0.1088,-genome--a-bridge--[4]--
0.108,-genome--a-egdirb--[5]--
0.1073,-genome--a-bridge--[3]--
0.1057,-genome--a-bridge-
0.1054,-genome--a-bridge--[2]--
0.105,-genome--a-egdirb--[4]--
0.1039,-genome--a-bridge--[1]--
0.1039,-genome--a-egdirb--[7]--
0.1036,-genome--a-egdirb--[3]--
0.103,-genome--a-egdirb--[2]--
0.0983,-genome--a-egdirb-
0.0852,-genome--a-bridge-a--genome-
0.0851,--[10]--a-egdirb--genome-
0.056,-genome--a-egdirb-a--genome-
0.0382,-egdirb--genome-
0.0245,--[8]--a-egdirb--genome-
0.0235,--[7]--a-egdirb--genome-
0.0194,-genome--a-bridge--genome--a-egdirb--genome-
0.0175,--[4]--a-bridge--genome-
0.0168,-genome--a-bridge--genome--a-bridge--genome-
0.016,-genome--a-bridge--genome--bridge--genome-
0.0154,-genome--bridge-a--genome-
0.015,-genome--egdirb-a--genome-
0.015,-genome--a-egdirb--genome--a-egdirb--genome-
0.0148,-genome--a-egdirb--genome--egdirb--genome-
0.0145,-genome--a-egdirb--genome--bridge--genome-
0.0144,-genome--a-egdirb--genome--a-bridge--genome-
0.0132,-genome--egdirb--genome--a-egdirb--genome-
0.0121,-genome--egdirb--genome--a-bridge--genome-
0.0115,-genome--a-bridge--genome--egdirb--genome-
0.0113,-genome--bridge--genome--a-bridge--genome-
0.0113,-genome--egdirb--[6]--
0.0112,--[3]--a-bridge--genome-
0.0111,--[7]--a-bridge--genome-
0.0111,-genome--egdirb--[8]--
0.011,-genome--egdirb--[1]--
0.0108,-genome--egdirb--[7]--
0.0105,-genome--egdirb--[10]--
0.0103,-a-bridge--genome-
0.0102,-genome--bridge--genome--a-egdirb--genome-
